"","Run","Assay.Type","BioSample","Center.Name","Consent","DATASTORE.filetype","DATASTORE.provider","DATASTORE.region","Experiment","Instrument","LibraryLayout","LibrarySelection","LibrarySource","Organism","Platform","ReleaseDate","Sample.Name","SRA.Study","BioProject","AvgSpotLen","Bases","Bytes","Library.Name","Host","Collection_Date","BioSampleModel","isolate","geo_loc_name_country","geo_loc_name_country_continent","geo_loc_name","Isolation_source","strain","collected_by","lat_lon","host_disease","ENA.FIRST.PUBLIC..run.","ENA.LAST.UPDATE..run.","sample_name","AssemblyName","INSDC_center_name","INSDC_first_public","INSDC_last_update","INSDC_status","SRA_accession","title","sample_type","Alias","INSDC_center_alias","ENA_CHECKLIST","subject_id","Biomaterial_provider","ENA.FIRST.PUBLIC","ENA.LAST.UPDATE","spoligotype","ArrayExpress.SPECIES","Genotype","VNTR","host_description","forward_read_length..run.","MD5_checksum2..run.","MD5_checksum..run.","reverse_read_length..run.","REA","Description","external_id","Submitter_Id","passage_history","samp_size","identified_by","lab_host","common_name","geographic_location_.country_and.or_sea.","GEO_Accession..exp.","host_health_state","host_scientific_name","source_name","host_sex","Broker_name","ENA.SUBMISSION.TOOL..exp.","Internal_project_id","host_tissue_sampled","Host_Age","treatment","env_biome","genotype.variation","serovar","specific_host","env_feature","env_material","isol_growth_condt","num_replicons","ref_biomaterial","accession..run.","Age","growth_condition","object_status..run.","organism"
"642","SRR8073601","WGS","SAMN10254833","USDA","public","sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX4901551","Illumina MiSeq","PAIRED","RANDOM","GENOMIC","Mycobacterium tuberculosis variant bovis","ILLUMINA","2018-10-17T00:00:00Z","01-6MIDNRdeerOsco","SRP053287","PRJNA251692",453,515993749,348559620,"01-6MIDNRdeerOsco","Deer","not collected","Pathogen.cl","01-6MIDNRdeerOsco","USA","North America","USA:Michigan","not collected","not collected","not collected","not collected","bovine tuberculosis","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",""
"643","SRR8073602","WGS","SAMN10254834","USDA","public","sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX4901550","Illumina MiSeq","PAIRED","RANDOM","GENOMIC","Mycobacterium tuberculosis variant bovis","ILLUMINA","2018-10-17T00:00:00Z","01-9MIDNRdeerAlc","SRP053287","PRJNA251692",446,402510970,280558509,"01-9MIDNRdeerAlc","Deer","not collected","Pathogen.cl","01-9MIDNRdeerAlc","USA","North America","USA:Michigan","not collected","not collected","not collected","not collected","bovine tuberculosis","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",""
"644","SRR8073603","WGS","SAMN10254835","USDA","public","sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX4901549","Illumina MiSeq","PAIRED","RANDOM","GENOMIC","Mycobacterium tuberculosis variant bovis","ILLUMINA","2018-10-17T00:00:00Z","04-10MIDNRdeerAlp","SRP053287","PRJNA251692",485,362636691,232299839,"04-10MIDNRdeerAlp","Deer","not collected","Pathogen.cl","04-10MIDNRdeerAlp","USA","North America","USA:Michigan","not collected","not collected","not collected","not collected","bovine tuberculosis","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",""
"645","SRR8073604","WGS","SAMN10254836","USDA","public","sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX4901548","Illumina MiSeq","PAIRED","RANDOM","GENOMIC","Mycobacterium tuberculosis variant bovis","ILLUMINA","2018-10-17T00:00:00Z","04-13MIDNRdeerAlp","SRP053287","PRJNA251692",474,574441052,340837229,"04-13MIDNRdeerAlp","Deer","not collected","Pathogen.cl","04-13MIDNRdeerAlp","USA","North America","USA:Michigan","not collected","not collected","not collected","not collected","bovine tuberculosis","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",""
"646","SRR8073605","WGS","SAMN10254837","USDA","public","sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX4901547","Illumina MiSeq","PAIRED","RANDOM","GENOMIC","Mycobacterium tuberculosis variant bovis","ILLUMINA","2018-10-17T00:00:00Z","04-30MIDNRdeerMontm-3","SRP053287","PRJNA251692",483,266521157,169888379,"04-30MIDNRdeerMontm-3","Deer","not collected","Pathogen.cl","04-30MIDNRdeerMontm-3","USA","North America","USA:Michigan","not collected","not collected","not collected","not collected","bovine tuberculosis","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",""
"647","SRR8073606","WGS","SAMN10254838","USDA","public","sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX4901546","Illumina HiSeq 1500","PAIRED","RANDOM","GENOMIC","Mycobacterium tuberculosis variant bovis","ILLUMINA","2018-10-18T00:00:00Z","05-1597_MI_Mont_Dairy_33","SRP053287","PRJNA251692",106,851737136,686391121,"05-1597_MI_Mont_Dairy_33","Bos taurus","not collected","Pathogen.cl","05-1597_MI_Mont_Dairy_33","USA","North America","USA:Michigan","not collected","not collected","not collected","not collected","bovine tuberculosis","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",""
"648","SRR8073607","WGS","SAMN10254839","USDA","public","sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX4901545","Illumina MiSeq","PAIRED","RANDOM","GENOMIC","Mycobacterium tuberculosis variant bovis","ILLUMINA","2018-10-17T00:00:00Z","05-4MIDNRdeerOsco","SRP053287","PRJNA251692",479,412624828,255497297,"05-4MIDNRdeerOsco","Deer","not collected","Pathogen.cl","05-4MIDNRdeerOsco","USA","North America","USA:Michigan","not collected","not collected","not collected","not collected","bovine tuberculosis","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",""
"649","SRR8073608","WGS","SAMN10254840","USDA","public","sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX4901544","Illumina MiSeq","PAIRED","RANDOM","GENOMIC","Mycobacterium tuberculosis variant bovis","ILLUMINA","2018-10-17T00:00:00Z","05-7MIDNRdeerAlc","SRP053287","PRJNA251692",474,439114353,282655314,"05-7MIDNRdeerAlc","Deer","not collected","Pathogen.cl","05-7MIDNRdeerAlc","USA","North America","USA:Michigan","not collected","not collected","not collected","not collected","bovine tuberculosis","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",""
"650","SRR8073609","WGS","SAMN10254841","USDA","public","sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX4901543","Illumina MiSeq","PAIRED","RANDOM","GENOMIC","Mycobacterium tuberculosis variant bovis","ILLUMINA","2018-10-17T00:00:00Z","06-30MIDNRdeerAlp","SRP053287","PRJNA251692",461,400093772,250403226,"06-30MIDNRdeerAlp","Deer","not collected","Pathogen.cl","06-30MIDNRdeerAlp","USA","North America","USA:Michigan","not collected","not collected","not collected","not collected","bovine tuberculosis","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",""
"651","SRR8073611","WGS","SAMN10254889","USDA","public","sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX4901541","Illumina MiSeq","PAIRED","RANDOM","GENOMIC","Mycobacterium tuberculosis variant bovis","ILLUMINA","2018-10-17T00:00:00Z","99-22MIDNRdeerAlc-1","SRP053287","PRJNA251692",478,503414938,306025588,"99-22MIDNRdeerAlc-1","Deer","not collected","Pathogen.cl","99-22MIDNRdeerAlc-1","USA","North America","USA:Michigan","not collected","not collected","not collected","not collected","bovine tuberculosis","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",""
