Year,UniqueID,Species,Auxilary,County
1994,940568MITB635Beef,cattle,farmed,Alpena
1994,941MIDNRdeerAlp,deer,cervids,Alpena
1995,9511MIDNRdeerMontm,deer,cervids,Montmorency
1996,9620MIDNRdeerAlp,deer,cervids,Alpena
1996,9627MIDNRdeerOsco,deer,cervids,Oscoda
1996,9628MIDNRdeerMontm,deer,cervids,Montmorency
1996,9629MIDNRdeerMontm,deer,cervids,Montmorency
1996,9632MIDNRdeerAlp,deer,cervids,Alpena
1996,9634MIDNRdeerAlc,deer,cervids,Alcona
1996,9640MIDNRdeerMontm,deer,cervids,Montmorency
1996,9641MIDNRdeerOsco,deer,cervids,Oscoda
1996,9646MIDNRdeerAlc,deer,cervids,Alcona
1996,9647MIDNRdeerMontm,deer,cervids,Montmorency
1996,9648MIDNRdeerAlc,deer,cervids,Alcona
1996,9653MIDNRdeerAlc,deer,cervids,Alcona
1996,9655MIDNRdeerAlc,deer,cervids,Alcona
1996,9656MIDNRdeerMontm,deer,cervids,Montmorency
1996,9657MIDNRdeerAlc,deer,cervids,Alcona
1996,9659MIDNRdeerOsco,deer,cervids,Oscoda
1996,9662MIDNRdeerAlc,deer,cervids,Alcona
1996,9665MIDNRdeerMontm,deer,cervids,Montmorency
1996,9666MIDNRdeerMontm,deer,cervids,Montmorency
1996,9669MIDNRdeerOsco,deer,cervids,Oscoda
1996,9670MIDNRdeerAlp,deer,cervids,Alpena
1996,9672MIDNRdeerOsco,deer,cervids,Oscoda
1996,9673MIDNRdeerAlp,deer,cervids,Alpena
1996,9675MIDNRdeerOsco,deer,cervids,Oscoda
1996,9676MIDNRdeerMontm,deer,cervids,Montmorency
1997,9710MIDNRdeerMontm,deer,cervids,Montmorency
1997,9712MIDNRdeerMontm,deer,cervids,Montmorency
1997,9713MIDNRdeerAlp,deer,cervids,Alpena
1997,9714MIDNRdeerAlp,deer,cervids,Alpena
1997,9715MIDNRdeerAlc,deer,cervids,Alcona
1997,9716MIDNRdeerAlp,deer,cervids,Alpena
1997,9717MIDNRdeerMontm,deer,cervids,Montmorency
1997,971MIDNRdeerAlc,deer,cervids,Alcona
1997,9720MIDNRdeerAlc,deer,cervids,Alcona
1997,9721MIDNRdeerAlc1,deer,cervids,Alcona
1997,9721MIDNRdeerAlc2,deer,cervids,Alcona
1997,9722MIDNRdeerAlc,deer,cervids,Alcona
1997,9723MIDNRdeerAlc,deer,cervids,Alcona
1997,9724MIDNRdeerAlc,deer,cervids,Alcona
1997,9725MIDNRdeerAlc,deer,cervids,Alcona
1997,9726MIDNRdeerMontm,deer,cervids,Montmorency
1997,9727MIDNRdeerAlp,deer,cervids,Alpena
1997,9729MIDNRdeerAlc,deer,cervids,Alcona
1997,9730MIDNRdeerPI,deer,cervids,PresqueIsle
1997,9731MIDNRdeerAlc,deer,cervids,Alcona
1997,9732MIDNRdeerMontm,deer,cervids,Montmorency
1997,9733MIDNRdeerAlp,deer,cervids,Alpena
1997,9734MIDNRdeerAlc,deer,cervids,Alcona
1997,9735MIDNRdeerAlp,deer,cervids,Alpena
1997,9737MIDNRdeerAlc,deer,cervids,Alcona
1997,9738MIDNRdeerAlp,deer,cervids,Alpena
1997,9739MIDNRdeerAlc,deer,cervids,Alcona
1997,9740MIDNRdeerAlc,deer,cervids,Alcona
1997,9741MIDNRdeerMontm,deer,cervids,Montmorency
1997,9744MIDNRdeerAlc,deer,cervids,Alcona
1997,9745MIDNRdeerMontm,deer,cervids,Montmorency
1997,9748MIDNRdeerMontm,deer,cervids,Montmorency
1997,9749MIDNRdeerMontm,deer,cervids,Montmorency
1997,974MIDNRdeerAlp,deer,cervids,Alpena
1997,9751MIDNRdeerAlc1,deer,cervids,Alcona
1997,9751MIDNRdeerAlc2,deer,cervids,Alcona
1997,9752MIDNRdeerAlp1,deer,cervids,Alpena
1997,9752MIDNRdeerAlp2,deer,cervids,Alpena
1997,9754MIDNRdeerAlp1,deer,cervids,Alpena
1997,9754MIDNRdeerAlp2,deer,cervids,Alpena
1997,9755MIDNRdeerMontm,deer,cervids,Montmorency
1997,9757MIDNRdeerAlc,deer,cervids,Alcona
1997,9758MIDNRdeerAlp,deer,cervids,Alpena
1997,9759MIDNRdeerAlp,deer,cervids,Alpena
1997,9760MIDNRdeerAlp,deer,cervids,Alpena
1997,9761MIDNRdeerMontm,deer,cervids,Montmorency
1997,9762MIDNRdeerAlc,deer,cervids,Alcona
1997,9763MIDNRdeerAlc,deer,cervids,Alcona
1997,9766MIDNRdeerOsco,deer,cervids,Oscoda
1997,9767MIDNRdeerMontm,deer,cervids,Montmorency
1997,9768MIDNRdeerAlc,deer,cervids,Alcona
1997,9770MIDNRdeerAlc,deer,cervids,Alcona
1997,9773MIDNRdeerAlp,deer,cervids,Alpena
1997,9774MIDNRdeerAlc,deer,cervids,Alcona
1998,980251MIPresGameFarmC1,cattle,farmed,PresqueIsle
1998,9811MIDNRdeerAlp1,deer,cervids,Alpena
1998,9811MIDNRdeerAlp2,deer,cervids,Alpena
1998,9812MIDNRdeerAlc,deer,cervids,Alcona
1998,9813MIDNRdeerAlp,deer,cervids,Alpena
1998,9814MIDNRdeerAlc,deer,cervids,Alcona
1998,9815MIDNRdeerAlp,deer,cervids,Alpena
1998,9816MIDNRdeerAlc,deer,cervids,Alcona
1998,9817MIDNRdeerAlc,deer,cervids,Alcona
1998,981865MIWildlifeCoyote,coyote,furbearers,Unknown
1998,9818MIDNRdeerAlp1,deer,cervids,Alpena
1998,9818MIDNRdeerAlp2,deer,cervids,Alpena
1998,9820MIDNRdeerAlp,deer,cervids,Alpena
1998,9821MIDNRdeerAlp,deer,cervids,Alpena
1998,982322MIAlpeBeef1,cattle,farmed,Alpena
1998,9824MIDNRdeerAlp1,deer,cervids,Alpena
1998,9824MIDNRdeerAlp2,deer,cervids,Alpena
1998,9825MIDNRdeerMontm,deer,cervids,Montmorency
1998,9826MIDNRdeerMontm,deer,cervids,Montmorency
1998,9827MIDNRdeerMontm,deer,cervids,Montmorency
1998,9828MIDNRdeerAlp,deer,cervids,Alpena
1998,9829MIDNRdeerAlc,deer,cervids,Alcona
1998,9832MIDNRdeerOsco,deer,cervids,Oscoda
1998,9834MIDNRdeerAlc,deer,cervids,Alcona
1998,9838MIDNRdeerAlc,deer,cervids,Alcona
1998,983MIDNRdeerAlc,deer,cervids,Alcona
1998,9842MIDNRdeerMontm,deer,cervids,Montmorency
1998,9844MIDNRdeerMontm,deer,cervids,Montmorency
1998,9845MIDNRdeerOsco,deer,cervids,Oscoda
1998,9846MIDNRdeerAlc,deer,cervids,Alcona
1998,9849MIDNRdeerAlc,deer,cervids,Alcona
1998,9852MIDNRdeerMontm1,deer,cervids,Montmorency
1998,9852MIDNRdeerMontm2,deer,cervids,Montmorency
1998,9853MIDNRdeerAlc,deer,cervids,Alcona
1998,9854MIDNRdeerAlp,deer,cervids,Alpena
1998,9855MIDNRdeerAlp,deer,cervids,Alpena
