airport,airport_type,OpenFlights_Airport_ID,OpenFlights_Name,Name,notes,china,ADM0_country,ADM1_province,ADM2_prefecture
Manchester International Apt,departure,478,Manchester Airport,,alternative local airport,no,United Kingdom,,
Pereira,departure,2739,Matecaña International Airport,,,no,Colombia,,
Tunxi,departure,6387,Tunxi International Airport,,,yes,China,Anhui Province,Huangshan
Doha,departure,11051,Hamad International Airport,,,no,Qatar,,
Helsinki,departure,421,Helsinki Vantaa Airport,,could also be Helsinki Malmi Airport; two separate airports,no,Finland,,
Lanzhou Apt,departure,3378,Lanzhou Zhongchuan Airport,,,yes,China,Gansu province,Lanzhou
Delhi,departure,3093,Indira Gandhi International Airport,,could be Safdarjung Airport; Safdarjung is not the international airport,no,India,,
Changchun,departure,4380,Longjia Airport,,,yes,China,Jilin Province,Changchun
Jinghong,departure,3381,Xishuangbanna Gasa Airport,,,yes,China,Yunnan Province,Xishuangbanna Dai Autonomous Prefecture
Ji an,departure,6964,Jinggangshan Airport,,,yes,China,Jiangxi Province,Ji'an
Jinan,departure,4108,Yaoqiang Airport,,,yes,China,Shandong Province,Jinan
Linyi,departure,6385,Shubuling Airport,,,yes,China,Shandong Province,Linyi
Luxi,departure,6376,Mangshi Airport,,,yes,China,Yunnan Province,Dehong Dai and Jingpo Autonomous Prefecture
Istanbul,departure,1701,Sabiha Gökçen International Airport,,"multiple international airports, could be Atatürk International Airport; ",no,Turkey,,
Santiago,departure,2663,Eulogio Sánchez Airport,,,no,Chile,,
Victoria International Apt,departure,8224,Victoria Airport,,,no,Canada,,
Beef Island,departure,2903,Terrance B. Lettsome International Airport,,,no,British Virgin Islands,,
Salvador,departure,2621,Deputado Luiz Eduardo Magalhães International Airport,,,no,Brazil,,
St Maarten,departure,2899,Princess Juliana International Airport,,,no,Netherlands Antilles,,
Georgetown,departure,4304,Cheddi Jagan International Airport,,,no,Guyana,,
Taipei Chiang Kai Shek Intl Apt,departure,2276,Taiwan Taoyuan International Airport,,,no,Taiwan,,
Guilin,departure,3372,Guilin Liangjiang International Airport,,,yes,China,Guangxi Zhuang Autonomous Region,Guilin
Leon/Guanajuato,departure,1815,Del Bajío International Airport,,,no,Mexico,,
Koror,departure,2256,Babelthuap Airport,,,no,Palau,,
La Paz,departure,1816,Manuel Márquez de León International Airport,,,no,Mexico,,
Liberia,departure,1881,Daniel Oduber Quiros International Airport,,,no,Costa Rica,,
Managua,departure,1863,Augusto C. Sandino (Managua) International Airport,,,no,Nicaragua,,
Nassau International Apt,departure,1953,Lynden Pindling International Airport,,,no,Bahamas,,
San Jose Cabo,departure,1840,Los Cabos International Airport,,,no,Mexico,,
Merida,departure,1819,Licenciado Manuel Crescencio Rejon Int Airport,,,no,Mexico,,
Warsaw,departure,679,Warsaw Chopin Airport,,could also be Barbice,no,Poland,,
Lushan,departure,6381,Jiujiang Lushan Airport,,,yes,China,Jiangxi Province,Jiujiang
Cairo,departure,1128,Cairo International Airport,,,no,Egypt,,
Changsha,departure,3371,Changsha Huanghua International Airport,,,yes,China,Hunan Province,Changsha
Manaus,departure,2551,Eduardo Gomes International Airport,,two other local airports,no,Brazil,,
Anqing,departure,6427,Anqing Tianzhushan Airport,,,yes,China,Anhui Province,Anqing
Anshan,departure,9849,Anshun Huangguoshu Airport,,,yes,China,Guizhou Province,Anshun
Baoshan,departure,7505,Baoshan Yunduan Airport,,,yes,China,Yunnan Province,Baoshan
Baotou,departure,6346,Baotou Airport,,,yes,China,Inner Mongolia Autonomous Region,Baotou
BAYANNUR,departure,8630,Bayannur Tianjitai Airport,,,yes,China,Inner Mongolia Autonomous Region,Bayannur
Beihai,departure,6351,Beihai Airport,,,yes,China,Guangxi Zhuang Autonomous Region,Beihai
Beijing Capital Apt,departure,3364,Beijing Capital International Airport,,,yes,China,Beijing Municipality,Beijing Municipality
Changde,departure,13478,Chengde Puning Airport,,,yes,China,Hebei Province,Chengde
Changzhi,departure,6343,Changzhi Airport,,,yes,China,Shanxi Province,Changzhi
Changzhou,departure,4109,Changzhou Benniu Airport,,,yes,China,Jiangsu Province,Changzhou
Chengdu,departure,3395,Chengdu Shuangliu International Airport,,,yes,China,Sichuan Province,Chengdu
Chongqing,departure,3393,Chongqing Jiangbei International Airport,,,yes,China,Chongqing Municipality,Chongqing Municipality
Dali City,departure,4054,Dali Airport,,,yes,China,Yunnan Province,Dali Bai Autonomous Prefecture
Dalian,departure,3404,Zhoushuizi Airport,,,yes,China,Liaoning Province,Dalian
Dandong,departure,6433,Dandong Airport,,,yes,China,Liaoning Province,Dandong
DAQING,departure,9845,Saertu Airport,,,yes,China,Heilongjiang Province,Daqing
Datong,departure,6344,Datong Airport,,,yes,China,Shanxi Province,Datong
Dayong,departure,6353,Dayong Airport,,,yes,China,Hunan Province,Zhangjiajie
Diqing,departure,6375,Diqing Airport,,,yes,China,Yunnan Province,Dêqên Tibetan Autonomous Prefecture
Dongsheng,departure,6434,Ordos Ejin Horo Airport,,,yes,China,Inner Mongolia Autonomous Region,Ordos
Dongying,departure,4145,Dongying Shengli Airport,,,yes,China,Shandong Province,Dongying
Enshi,departure,6358,Enshi Airport,,,yes,China,Hubei Province,Enshi Tujia and Miao Autonomous Prefecture
Fuyang,departure,7503,Fuyang Xiguan Airport,,,yes,China,Anhui Province,Fuyang
Fuzhou,departure,3385,Fuzhou Changle International Airport,,,yes,China,Jiangxi Province,Fuzhou
Ganzhou,departure,6379,Ganzhou Airport,,,yes,China,Jiangxi Province,Ganzhou
Guiyang,departure,4120,Haikou Meilan International Airport,,,yes,China,Hainan Province,Haikou
Haikou,departure,3372,Guilin Liangjiang International Airport,,,yes,China,Guangxi Zhuang Autonomous Region,Guilin
Hailar,departure,3366,Dongshan Airport,,,yes,China,Inner Mongolia Autonomous Region,Hulunbuir
Hangzhou,departure,3386,Hangzhou Xiaoshan International Airport,,,yes,China,Zhejiang Province,Hangzhou
Hanzhong,departure,6364,Hanzhong Chenggu Airport,,,yes,China,Zhejiang Province,Hangzhou
Harbin,departure,3400,Taiping Airport,,,yes,China,Heilongjiang Province,Harbin
Hefei,departure,3389,Hefei Luogang International Airport,,,yes,China,Anhui Province,Hefei
Hengyang,departure,10942,Hengyang Nanyue Airport,,,yes,China,Hunan Province,Hengyang
Hohhot,departure,6345,Baita International Airport,,,yes,China,Inner Mongolia Autonomous Region,Hohhot
Hong Kong International Apt,departure,3077,Hong Kong International Airport,,,yes,China,Hong Kong Special Administrative Region,Hong Kong Special Administrative Region
Huangyan,departure,6384,Huangyan Luqiao Airport,,,yes,China,Heilongjiang Province,Shuangyashan
Huizhou,departure,7458,Huizhou Airport,,,yes,China,Guangdong Province,Huizhou
Jiamusi,departure,6411,Jiamusi Airport,,,yes,China,Heilongjiang Province,Jiamusi
